Year,Country,Medals
1924,Austria,4
1924,Belgium,5
1924,Canada,9
1924,Finland,15
1924,France,12
1924,Norway,17
1924,Sweden,9
1924,Switzerland,9
1924,United Kingdom,25
1924,United States,13
1928,Austria,6
1928,Belgium,1
1928,Canada,12
1928,Czechoslovakia,1
1928,Finland,4
1928,France,2
1928,Germany,5
1928,Norway,15
1928,Sweden,16
1928,Switzerland,12
1928,United Kingdom,1
1928,United States,14
1932,Austria,2
1932,Canada,20
1932,Finland,3
1932,France,2
1932,Germany,21
1932,Hungary,2
1932,Norway,10
1932,Sweden,3
1932,Switzerland,8
1932,United States,45
1936,Austria,5
1936,Canada,13
1936,Finland,9
1936,France,1
1936,Germany,7
1936,Hungary,2
1936,Norway,18
1936,Sweden,10
1936,Switzerland,10
1936,United Kingdom,17
1936,United States,16
1948,Austria,8
1948,Belgium,6
1948,Canada,20
1948,Czechoslovakia,17
1948,Finland,9
1948,France,5
1948,Hungary,2
1948,Italy,1
1948,Norway,13
1948,Sweden,13
1948,Switzerland,28
1948,United Kingdom,2
1948,United States,16
1952,Austria,8
1952,Canada,17
1952,Finland,12
1952,France,1
1952,Hungary,2
1952,Italy,2
1952,Netherlands,3
1952,Norway,19
1952,Sweden,23
1952,Switzerland,6
1952,United Kingdom,1
1952,United States,30
1952,West Germany,12
1956,Austria,12
1956,Canada,20
1956,Finland,12
1956,Hungary,2
1956,Italy,8
1956,Japan,1
1956,Norway,4
1956,Poland,1
1956,Soviet Union,37
1956,Sweden,15
1956,Switzerland,10
1956,United States,26
1956,United Team of Germany,2
1960,Austria,6
1960,Canada,21
1960,Czechoslovakia,1
1960,Finland,13
1960,France,3
1960,Italy,1
1960,Netherlands,2
1960,Norway,9
1960,Poland,2
1960,Soviet Union,42
1960,Sweden,9
1960,Switzerland,2
1960,United States,27
1960,United Team of Germany,9
1964,Austria,17
1964,Canada,7
1964,Czechoslovakia,17
1964,Finland,15
1964,France,7
1964,Italy,10
1964,"Korea, North",1
1964,Netherlands,2
1964,Norway,15
1964,Soviet Union,46
1964,Sweden,28
1964,United Kingdom,2
1964,United States,8
1964,United Team of Germany,10
1968,Austria,15
1968,Canada,20
1968,Czechoslovakia,21
1968,East Germany,6
1968,Finland,8
1968,France,9
1968,Italy,8
1968,Netherlands,9
