Year,City,Sport,Discipline,NOC,Event,Gender,Medal,Country,Latitude,Longitude
1924,Chamonix,Skating,Figure skating,AUT,individual,M,Silver,Austria,45.9231,6.8697
1924,Chamonix,Skating,Figure skating,AUT,individual,W,Gold,Austria,45.9231,6.8697
1924,Chamonix,Skating,Figure skating,AUT,pairs,X,Gold,Austria,45.9231,6.8697
1924,Chamonix,Bobsleigh,Bobsleigh,BEL,four-man,M,Bronze,Belgium,45.9231,6.8697
1924,Chamonix,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold,Canada,45.9231,6.8697
1924,Chamonix,Biathlon,Biathlon,FIN,military patrol,M,Silver,Finland,45.9231,6.8697
1924,Chamonix,Skating,Figure skating,FIN,pairs,X,Silver,Finland,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,FIN,10000m,M,Gold,Finland,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,FIN,10000m,M,Silver,Finland,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,FIN,1500m,M,Gold,Finland,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,FIN,5000m,M,Gold,Finland,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,FIN,5000m,M,Silver,Finland,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,FIN,500m,M,Bronze,Finland,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,FIN,combined (4 events),M,Bronze,Finland,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,FIN,combined (4 events),M,Gold,Finland,45.9231,6.8697
1924,Chamonix,Skiing,Cross Country S,FIN,18km,M,Bronze,Finland,45.9231,6.8697
1924,Chamonix,Biathlon,Biathlon,FRA,military patrol,M,Bronze,France,45.9231,6.8697
1924,Chamonix,Curling,Curling,FRA,curling,M,Bronze,France,45.9231,6.8697
1924,Chamonix,Skating,Figure skating,FRA,pairs,X,Bronze,France,45.9231,6.8697
1924,Chamonix,Bobsleigh,Bobsleigh,GBR,four-man,M,Silver,United Kingdom,45.9231,6.8697
1924,Chamonix,Curling,Curling,GBR,curling,M,Gold,United Kingdom,45.9231,6.8697
1924,Chamonix,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Bronze,United Kingdom,45.9231,6.8697
1924,Chamonix,Skating,Figure skating,GBR,individual,W,Bronze,United Kingdom,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,NOR,10000m,M,Bronze,Norway,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,NOR,1500m,M,Bronze,Norway,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,NOR,1500m,M,Silver,Norway,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,NOR,5000m,M,Bronze,Norway,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,NOR,500m,M,Bronze,Norway,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,NOR,500m,M,Silver,Norway,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,NOR,combined (4 events),M,Silver,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Cross Country S,NOR,18km,M,Gold,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Cross Country S,NOR,18km,M,Silver,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Cross Country S,NOR,50km,M,Bronze,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Cross Country S,NOR,50km,M,Gold,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Cross Country S,NOR,50km,M,Silver,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Nordic Combined,NOR,individual,M,Bronze,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Nordic Combined,NOR,individual,M,Gold,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Nordic Combined,NOR,individual,M,Silver,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold,Norway,45.9231,6.8697
1924,Chamonix,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver,Norway,45.9231,6.8697
